wage,educ,married,exper,age
9,10,Married,27,43
5.5,12,Married,20,38
3.8,12,Single,4,22
10.5,12,Married,29,47
15,12,Married,40,58
9,16,Married,27,49
9.57,12,Married,5,23
15,14,Single,22,42
11,8,Married,42,56
5,12,Married,14,32
24.98,17,Married,18,41
20.4,17,Single,3,26
25,14,Single,4,24
13.98,14,Single,14,34
3.5,12,Married,35,53
5,14,Single,0,20
10,16,Married,7,29
15,16,Married,26,48
5.83,13,Single,3,22
9.1,13,Single,16,35
11.25,17,Married,32,55
13,12,Married,25,43
8,14,Single,15,35
4.28,12,Married,38,56
7.88,16,Married,17,39
6.94,12,Single,7,25
24.98,17,Single,5,28
10,14,Married,22,42
13.75,14,Married,21,41
5.62,13,Married,2,21
14.67,14,Married,16,36
24.98,16,Married,18,40
12,12,Married,14,32
15,18,Married,12,36
5.77,16,Single,3,25
12.65,17,Married,13,36
11.71,16,Single,42,64
13,12,Married,8,26
12.5,15,Married,6,27
22.5,16,Married,22,44
11.25,16,Single,3,25
15.38,16,Married,33,55
7.7,13,Single,8,27
11.84,12,Married,26,44
5,14,Married,0,20
6.5,12,Married,28,46
9,8,Married,33,47
3.35,12,Single,0,18
4.5,12,Married,7,25
10.53,14,Married,12,32
3.5,9,Married,47,62
15,16,Married,12,34
8.5,12,Single,25,43
9.17,12,Married,44,62
9.6,9,Single,33,48
6.88,8,Married,22,36
13.95,18,Married,14,38
10,14,Single,22,42
3.75,12,Single,41,59
8,12,Single,8,26
11.67,12,Married,43,61
8.89,8,Single,29,43
4,12,Single,6,24
5.5,12,Single,21,39
3.35,16,Single,3,25
10.81,12,Married,40,58
7,12,Married,5,23
10,13,Married,34,53
5.4,16,Married,10,32
7.5,12,Single,10,28
11.25,12,Married,41,59
10,10,Married,25,41
4,13,Single,0,19
13.51,18,Married,14,38
6.75,12,Single,22,40
14.29,14,Married,32,52
9.75,15,Married,9,30
3.35,12,Single,0,18
3.4,8,Single,49,63
5.62,14,Married,32,52
7,12,Married,7,25
10,16,Married,10,32
6.1,10,Single,44,60
4.17,12,Married,27,45
4.8,12,Married,16,34
5.75,12,Married,3,21
4.75,12,Married,8,26
9.37,17,Married,7,30
5.25,12,Single,8,26
4.95,9,Married,42,57
19.38,16,Married,11,33
19.98,12,Married,23,41
4,12,Single,4,22
5,12,Single,0,18
10.58,14,Married,25,45
10,12,Single,22,40
7.38,14,Single,15,35
12.5,15,Single,10,31
4,16,Single,20,42
15.03,12,Married,24,42
16,12,Married,12,30
3.56,12,Single,12,30
4.5,12,Single,16,34
4.55,12,Single,4,22
3.6,12,Married,43,61
8,12,Married,14,32
4.75,12,Single,10,28
6.73,12,Married,2,20
11.11,12,Married,28,46
6,7,Married,15,28
10,12,Married,20,38
11.25,12,Married,30,48
3.95,12,Married,9,27
17.5,16,Married,13,35
3.55,13,Single,1,20
6,16,Single,8,30
22,14,Married,15,35
6.25,12,Single,6,24
4.5,7,Married,14,27
10.32,13,Single,28,47
12.2,14,Married,10,30
18.16,17,Single,14,37
15,16,Married,10,32
8.75,13,Married,10,29
19.98,14,Married,44,64
6.67,16,Single,10,32
9.63,14,Married,22,42
5.5,11,Married,18,35
8,12,Single,9,27
20,18,Married,19,43
9.5,17,Married,14,37
11.79,16,Single,6,28
13.89,16,Single,17,39
5.5,11,Married,24,41
7,11,Single,12,29
9.65,12,Married,38,56
10.61,15,Single,33,54
3.75,2,Single,16,24
12,14,Married,10,30
8.56,14,Married,14,34
16.14,14,Single,16,36
3.75,11,Single,11,28
9,16,Married,6,28
13.12,12,Married,33,51
13.2,16,Single,10,32
9.25,12,Single,19,37
5,12,Single,4,22
6,17,Single,3,26
7,12,Married,32,50
4.7,8,Married,19,33
7.5,16,Married,22,44
7,18,Married,33,57
11.22,18,Married,19,43
5.71,18,Married,3,27
5.5,12,Married,12,30
9,12,Married,16,34
4.13,12,Married,4,22
10,12,Married,11,29
7.5,12,Married,17,35
3.65,11,Single,16,33
8.89,12,Married,18,36
18,18,Married,15,39
3.35,14,Single,0,20
13.45,16,Single,8,30
22.5,16,Married,17,39
19,18,Single,13,37
8.93,12,Married,18,36
7,11,Married,16,33
4.17,14,Single,24,44
9.83,12,Married,23,41
6.67,12,Single,1,19
7,12,Married,10,28
3.64,12,Married,42,60
22.83,18,Single,37,61
5,12,Married,14,32
22.5,18,Married,14,38
12,12,Married,11,29
6.28,12,Married,38,56
4.5,12,Single,3,21
6,12,Married,9,27
6.75,10,Married,13,29
8.75,12,Single,9,27
13.28,16,Married,11,33
6.25,13,Married,30,49
8.99,12,Single,15,33
7.5,14,Single,2,22
12,17,Married,24,47
14,18,Single,31,55
16.42,14,Single,19,39
6.25,14,Single,2,22
10.5,12,Married,4,22
9.5,9,Married,46,61
3,6,Married,43,55
9.22,14,Married,13,33
4,12,Single,15,33
3.8,12,Single,16,34
6,12,Married,19,37
5,12,Married,28,46
15,12,Married,42,60
5.55,11,Single,45,62
9,16,Married,7,29
24.98,17,Married,31,54
8.49,12,Married,24,42
5,14,Married,17,37
22.2,12,Married,26,44
9.24,16,Married,5,27
8,16,Married,17,39
3.5,10,Single,33,49
3.35,13,Married,2,21
3.35,16,Married,14,36
20,16,Married,28,50
4,12,Single,46,64
18,16,Married,38,60
4.5,13,Single,0,19
7.81,12,Single,1,19
1.75,12,Married,5,23
5.2,18,Married,13,37
8.75,10,Single,19,35
5,12,Married,5,23
3.75,12,Married,6,24
5.95,13,Married,9,28
4,12,Single,7,25
7,3,Married,55,64
5,17,Single,1,24
4.62,6,Single,33,45
5.75,12,Married,21,39
24.98,18,Married,29,53
15.79,18,Married,7,31
15.56,16,Single,10,32
3.35,16,Single,9,31
18.16,18,Married,7,31
8,18,Single,33,57
6,13,Single,31,50
17.25,18,Married,5,29
5.5,16,Single,2,24
7.65,12,Single,20,38
6.25,16,Single,4,26
6.4,12,Married,45,63
6.58,12,Married,24,42
12.5,12,Married,43,61
13.33,18,Married,10,34
5.5,12,Single,3,21
11.25,15,Single,5,26
10.62,12,Single,45,63
8,12,Married,43,61
10.2,17,Married,26,49
5.79,12,Married,42,60
7.3,12,Married,37,55
44.5,14,Single,1,21
10.5,13,Married,14,33
9.36,12,Married,8,26
5.2,12,Married,24,42
4.25,12,Married,20,38
15.95,17,Single,13,36
22.5,15,Married,12,33
5,16,Married,4,26
5.3,12,Married,14,32
6.25,18,Married,14,38
10,18,Single,13,37
5.5,12,Married,20,38
6.8,9,Married,30,45
3,12,Married,28,46
10,16,Married,14,36
4.85,10,Single,13,29
9.42,12,Married,32,50
6,15,Single,26,47
4.25,13,Single,0,19
11.02,14,Married,12,32
12.16,12,Married,32,50
8.43,12,Married,12,30
11.43,12,Single,3,21
19.98,9,Married,29,44
6.88,14,Single,10,30
5.71,12,Married,16,34
3.35,12,Married,8,26
4.85,9,Married,16,31
5.75,12,Married,15,33
5.4,12,Married,18,36
13.16,12,Married,38,56
11.32,12,Married,13,31
8.75,13,Married,18,37
12.22,12,Married,19,37
5.25,10,Married,15,31
5.56,14,Single,5,25
4.59,12,Married,36,54
7.5,12,Married,38,56
12,12,Single,5,23
16,12,Married,35,53
3.35,11,Single,3,20
4.45,10,Single,27,43
4.25,12,Married,29,47
13.1,10,Married,38,54
7,10,Married,9,25
5.75,6,Married,45,57
6.5,8,Married,27,41
7.61,12,Married,20,38
20.5,16,Married,14,36
6.25,12,Single,1,19
3.84,11,Married,25,42
16.65,14,Married,21,41
11.25,17,Single,10,33
5.65,14,Single,2,22
6.5,11,Single,17,34
7.75,12,Married,24,42
6.93,12,Married,26,44
15,12,Married,39,57
7,7,Married,42,55
3.35,7,Married,43,56
6.5,12,Single,5,23
6.25,16,Married,7,29
5,13,Married,6,25
3.45,13,Single,1,20
8.8,14,Married,41,61
10,16,Married,4,26
4,11,Married,25,42
9.5,12,Married,39,57
10.43,14,Married,15,35
5.21,18,Married,10,34
7.5,12,Single,20,38
7,17,Married,2,25
10.78,11,Married,28,45
8.9,10,Married,27,43
3.75,16,Single,13,35
3.75,15,Single,4,25
9.45,12,Single,13,31
15,12,Married,33,51
3.6,12,Single,6,24
12,18,Married,23,47
10.62,16,Married,6,28
14,16,Married,16,38
5,16,Single,3,25
11.5,12,Single,19,37
13.71,12,Married,43,61
10.62,12,Married,34,52
7.45,12,Single,25,43
6.75,10,Married,41,57
5.87,17,Single,6,29
3.43,12,Single,2,20
4.35,8,Married,37,51
13,12,Married,19,37
14,5,Married,44,55
3.51,10,Married,37,53
4.3,13,Single,8,27
5.85,18,Married,12,36
6,12,Single,8,26
11,16,Married,13,35
21.25,13,Single,32,51
14.53,16,Married,18,40
6.85,12,Single,8,26
10,16,Single,0,18
10,16,Married,7,29
24.98,16,Single,5,27
3.75,12,Married,17,35
6.5,11,Married,39,56
5,12,Single,4,22
4.55,8,Single,45,59
6.5,12,Single,8,26
10.58,16,Single,9,31
9.56,12,Married,23,41
12,16,Married,14,36
8.5,12,Single,16,34
4.1,12,Married,15,33
4.5,12,Single,15,33
11.5,16,Married,16,38
8.9,14,Single,13,33
14.21,11,Single,15,32
13.65,16,Married,11,33
22.2,18,Single,40,64
15,18,Married,11,35
8.06,13,Married,17,36
6.75,12,Married,12,30
4.5,11,Married,14,31
7,12,Married,26,44
7.5,12,Married,27,45
7.5,12,Married,16,34
8.5,12,Single,2,20
8,7,Married,44,57
3.5,8,Married,8,22
12.5,12,Married,9,27
6,12,Single,1,19
5.25,16,Single,2,24
5,12,Single,6,24
3.5,11,Married,17,34
11,14,Married,14,34
7.5,12,Single,3,21
8.5,12,Married,13,31
12.5,12,Single,11,29
10.75,12,Married,24,42
12.5,12,Married,14,32
7.8,17,Married,7,30
12,17,Married,13,36
3.35,12,Married,10,28
19.88,12,Married,13,31
6,13,Married,7,26
4.22,8,Married,39,53
3.5,14,Married,6,26
12,12,Married,20,38
3.35,12,Married,7,25
9,12,Married,20,38
3.98,14,Single,6,26
5,12,Married,39,57
12.67,16,Married,15,37
17.25,15,Married,31,52
9.5,12,Single,25,43
14,11,Married,13,30
8.5,12,Married,8,26
4.25,12,Married,2,20
5.8,16,Married,14,36
11.25,13,Married,14,33
12,18,Married,18,42
11.25,12,Married,28,46
7.5,16,Married,10,32
8.2,14,Single,17,37
4.85,12,Married,14,32
4.75,12,Married,2,20
5.5,16,Married,29,51
9.5,11,Married,29,46
9.6,12,Married,14,32
4.55,13,Married,33,52
15.73,16,Married,4,26
9.86,15,Married,13,34
10,14,Single,24,44
5.8,13,Single,5,24
7.53,14,Single,1,21
9.75,11,Married,37,54
13,11,Married,18,35
10.28,15,Married,10,31
13.45,12,Married,16,34
12.57,12,Married,12,30
8.63,14,Single,4,24
13.26,12,Married,16,34
6.85,14,Married,34,54
12.47,13,Married,10,29
7.14,14,Married,17,37
12.5,13,Married,16,35
10,10,Married,20,36
10,10,Married,12,28
8.75,12,Married,30,48
9.37,16,Married,26,48
11.11,13,Married,13,32
5.1,8,Married,21,35
7.5,11,Single,3,20
3.4,8,Married,29,43
4.5,12,Married,3,21
6.25,18,Married,27,51
20.55,12,Married,33,51
8.4,13,Single,17,36
8,12,Married,15,33
8.5,9,Married,38,53
3.75,12,Single,9,27
9,12,Married,10,28
12.05,16,Single,6,28
4.5,12,Married,7,25
4.8,9,Single,16,31
6.5,10,Married,30,46
7.69,12,Married,19,37
9.33,12,Single,15,33
5,12,Married,12,30
6.1,12,Married,33,51
10.67,12,Single,36,54
3.5,12,Single,25,43
10,12,Married,35,53
9,13,Single,8,27
7.5,12,Married,23,41
5.71,18,Single,7,31
8.5,17,Single,3,26
4,12,Married,8,26
5.75,9,Married,34,49
5.25,12,Single,2,20
3.5,12,Married,34,52
4.5,11,Single,2,19
5.5,12,Single,11,29
6.25,13,Married,4,23
8.89,16,Married,22,44
5.25,12,Married,45,63
10.25,14,Married,26,46
6.25,14,Married,12,32
4.35,12,Married,3,21
17.86,13,Single,36,55
7.5,12,Married,9,27
6.25,16,Married,7,29
4.5,14,Married,14,34
6.4,12,Single,6,24
4.84,15,Married,1,22
4.15,11,Married,4,21
5.13,12,Married,5,23
5.26,8,Married,38,52
7.78,16,Married,6,28
13.07,13,Single,9,28
8,13,Married,15,34
7.67,15,Married,11,32
7.5,12,Single,17,35
2.85,12,Single,1,19
6.36,12,Married,9,27
3.5,9,Single,48,63
11.35,12,Married,17,35
5.5,12,Married,33,51
9.15,12,Married,7,25
7.96,14,Married,12,32
5.65,16,Married,6,28
6,4,Married,54,64
13.45,16,Single,16,38
3.65,11,Married,8,25
6.25,9,Single,30,45
5.15,13,Single,1,20
26.29,17,Married,32,55
2.01,13,Single,0,19
5,12,Single,26,44
8.75,11,Single,36,53
12.5,14,Married,19,39
4,12,Single,12,30
4.5,16,Married,21,43
6.5,12,Single,11,29
5.5,12,Married,10,28
6.88,17,Married,15,38
6.15,16,Single,16,38
7.78,12,Married,23,41
1,12,Married,24,42
12.5,17,Married,13,36
8.85,14,Married,19,39
4.35,11,Married,20,37
11.36,18,Single,5,29
8.93,8,Married,47,61
3.5,11,Married,33,50
26,14,Married,21,41
8,12,Married,19,37
16,14,Married,20,40
5.35,12,Married,13,31
23.25,17,Married,25,48
8.63,12,Married,18,36
18.5,14,Single,13,33
22.2,18,Married,8,32
16.26,12,Single,14,32
19.47,12,Single,9,27